"문항번호","공식정답","CorpusScope","Baseline답","Baseline정답여부","Sol답","Sol정답여부","상태변화","Baseline법률Tool호출","Sol법률Tool호출","BaselineToolQuery","SolToolQuery","BaselineTopK","BaselineScores","SolTopK","SolScores","SolTool호출횟수","Sol오류","Sol실패유형"
"1","5","in_scope","5","O","5","O","both_correct","Y","Y","공인중개사 정책 심의 위원회 관련 사항","공인중개사법 공인중개사 정책심의위원회 소속 심의사항 손해배상책임 보장 위원 제척 회피 해촉 중개보수 시도지사 따라야 국토교통부장관 자격시험 시행 의결 | 공인중개사법 시행령 공인중개사 정책심의위원회 위원 제척 기피 회피 해촉 위원장 | ""제척사유에 해당함에도 불구하고 회피하지 아니한 경우"" ""공인중개사법 시행령""","공인중개사법 제35조 | 공인중개사법 제2조의2 | 공인중개사법 시행령 제18조 | 공인중개사법 시행령 제1조의3 | 공인중개사법 제2조","0.8146639311745142 | 0.8028648600895226 | 0.8027779232052664 | 0.7949773044708804 | 0.7841025396773503","공인중개사법 제35조 | 공인중개사법 제2조의2 | 공인중개사법 시행령 제24조 | 공인중개사법 제32조 | 공인중개사법 시행령 제3조 | 공인중개사법 제35조 | 공인중개사법 제2조의2 | 공인중개사법 제2조 | 공인중개사법 제41조 | 주택임대차보호법 제3조의2 | 공인중개사법 제35조 | 공인중개사법 시행령 제18조 | 공인중개사법 제2조의2 | 공인중개사법 시행령 제13조 | 주택임대차보호법 제3조의2","0.8114812309658016 | 0.8006797804509066 | 0.7901748078277303 | 0.7867753027825377 | 0.7861824371431089 | 0.8167673231951201 | 0.8032649878417835 | 0.7860077371329832 | 0.7835666530524952 | 0.7819120893857421 | 0.8215558287667163 | 0.8130990780783858 | 0.8065790604402373 | 0.7971313759892985 | 0.7887345826074476","3","","success"
"2","1","in_scope","4","X","1","O","baseline_wrong_to_sol_correct","N","Y","","공인중개사법 법인인 개업공인중개사 겸업 가능 업무 주택 임대업 상업용 건축물 분양대행 상담 도배 이사업체 소개 경영기법 경영정보 제공 | 공인중개사법 시행령 제17조 중개업에 부수되는 업무 도배 이사업체 소개 중개의뢰인의 의뢰","","","공인중개사법 시행규칙 제20조 | 공인중개사법 시행령 제13조 | 공인중개사법 시행령 제24조 | 공인중개사법 제14조 | 공인중개사법 시행령 제21조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제35조 | 공인중개사법 제14조 | 공인중개사법 시행령 제24조","0.8096319097769857 | 0.8062767984617524 | 0.805820483750535 | 0.8057484695687397 | 0.8020275061097837 | 0.807117292133625 | 0.7984561103998185 | 0.7974010032567769 | 0.7935253143806101 | 0.7927305695152004","2","","success"
"3","2","in_scope","3","X","2","O","baseline_wrong_to_sol_correct","Y","Y","공인중개사 법령 개업 공인중개사의 휴업 신고","공인중개사법 개업공인중개사 휴업 신고 분사무소 4개월 휴업기간 변경 중개사무소등록증 세무서장 재개 신고 등록증 반환 6개월 초과 등록취소 | 공인중개사법 제38조 계속하여 6개월 초과 휴업 등록취소 부득이한 사유 | ""계속하여 6개월을 초과하여 휴업한 경우"" ""개설등록을 취소할 수 있다"" 공인중개사법","공인중개사법 시행령 제18조 | 공인중개사법 제21조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 제18조","0.8473606691703782 | 0.8249488445005576 | 0.8183959797828927 | 0.8134298131201025 | 0.8124048182850419","공인중개사법 시행령 제18조 | 공인중개사법 제21조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 제18조 | 공인중개사법 시행령 제18조 | 공인중개사법 제21조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 제18조 | 공인중개사법 시행령 제18조 | 공인중개사법 제21조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 제18조","0.8473606691703782 | 0.8249488445005576 | 0.817194603013122 | 0.8133637526549572 | 0.8124048182850419 | 0.8473606691703782 | 0.823636608617826 | 0.8183959797828927 | 0.8133637526549572 | 0.8124048098786146 | 0.8473606691703782 | 0.8249488445005576 | 0.817194603013122 | 0.8134298131201025 | 0.8124048098786146","3","","success"
"4","5","in_scope","5","O","5","O","both_correct","Y","Y","공인중개사법 개업공인중개사 소속공인중개사 교육 의무","공인중개사법 개업공인중개사 소속공인중개사 연수교육 2년 실무교육 고용관계 종료 1년 이내 개설등록 중개대상물 확인설명서 서명 날인 | 공인중개사법 제25조 중개대상물 확인 설명서 개업공인중개사 소속공인중개사 함께 서명 또는 날인","공인중개사법 시행규칙 제8조 | 공인중개사법 제38조 | 공인중개사법 제34조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행령 제13조","0.8026048930663863 | 0.7951998824325236 | 0.7934295474757306 | 0.7920292810514198 | 0.7901487617090462","공인중개사법 시행규칙 제8조 | 공인중개사법 시행령 제13조 | 공인중개사법 제51조 | 공인중개사법 시행령 제18조 | 공인중개사법 제34조 | 공인중개사법 시행규칙 제8조 | 공인중개사법 제51조 | 공인중개사법 시행령 제18조 | 공인중개사법 제34조 | 공인중개사법 제25조","0.8060272350388727 | 0.7953008984370288 | 0.7947723067566156 | 0.7932157230473224 | 0.7919816503492515 | 0.799800922149207 | 0.7920285193353175 | 0.7906861464191076 | 0.7894645402304595 | 0.7881431058738676","2","","success"
"5","3","in_scope","4","X","3","O","baseline_wrong_to_sol_correct","Y","Y","고용인의 신고","공인중개사법령 소속공인중개사 중개보조원 고용 신고 해고 신고 10일 중개보조원 수 5배 등록관청 협회 통보 자격 확인 | 공인중개사법 등록관청 중개보조원 고용 신고 공인중개사협회 통보 규정","공인중개사법 시행규칙 제8조 | 공인중개사법 제15조 | 공인중개사법 제20조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 제34조","0.8575880577789531 | 0.8453557923939151 | 0.8343549279184188 | 0.8332919890553455 | 0.8253951076949355","공인중개사법 시행규칙 제8조 | 공인중개사법 제15조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 시행령 제18조 | 공인중개사법 제20조 | 공인중개사법 시행규칙 제8조 | 공인중개사법 제15조 | 공인중개사법 제51조 | 공인중개사법 제20조 | 공인중개사법 시행령 제18조","0.8472211078585046 | 0.8364028682112843 | 0.8298213097561695 | 0.8295392556600869 | 0.8274660796878104 | 0.8473478869942715 | 0.8391416598270577 | 0.8319518848040035 | 0.8280737780644213 | 0.8275623336190708","2","","success"
"6","3","in_scope","3","O","","오류","sol_error","Y","Y","부동산 거래 질서 교란 행위","공인중개사법 부동산거래질서교란행위 자격증 양도 알선 중개보조원 고지 보증보험 공제 미가입 이중계약서 쌍방대리 | 공인중개사법 제47조의2 부동산거래질서교란행위 신고센터 신고 대상 행위 제47조의2 제1항 각 호 | 공인중개사법 제7조 공인중개사 자격증 양도 알선 | 공인중개사법 제18조의4 중개보조원 신분 고지 의무 | 공인중개사법 제26조 제3항 서로 다른 둘 이상의 거래계약서 작성 | 공인중개사법 제33조 제1항 거래당사자 쌍방 대리 금지 | ""공인중개사자격증의 양도·대여를 알선하여서는 아니 된다"" 공인중개사법 제7조","공인중개사법 제33조 | 공인중개사법 제30조 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 상가건물 임대차보호법 제10조의4","0.8559132309271713 | 0.8265057088340836 | 0.8208768365589637 | 0.820025917907638 | 0.8191809198715571","공인중개사법 제38조 | 공인중개사법 시행령 제18조 | 공인중개사법 제30조 | 공인중개사법 시행령 제24조 | 공인중개사법 시행규칙 제15조 | 공인중개사법 시행령 제18조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 공인중개사법 제30조 | 공인중개사법 제47조의2 | 부동산 거래신고 등에 관한 법률 제3조 | 공인중개사법 제33조 | 공인중개사법 제35조 | 공인중개사법 시행령 제18조 | 공인중개사법 제30조 | 공인중개사법 시행규칙 제8조 | 공인중개사법 제51조 | 공인중개사법 시행령 제18조 | 공인중개사법 제35조 | 공인중개사법 제39조 | 공인중개사법 제30조 | 공인중개사법 시행령 제18조 | 공인중개사법 제35조 | 공인중개사법 제30조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제26조 | 공인중개사법 제51조 | 공인중개사법 시행령 제18조 | 공인중개사법 제35조 | 공인중개사법 제30조 | 공인중개사법 시행령 제24조 | 공인중개사법 제33조 | 공인중개사법 시행령 제18조 | 공인중개사법 제35조 | 공인중개사법 제30조 | 공인중개사법 시행령 제24조","0.8363893665124089 | 0.8275077963518953 | 0.8245900415991146 | 0.8173104292369247 | 0.8172064452362885 | 0.8299520383942887 | 0.8267647849170531 | 0.8196952687889807 | 0.8195153945199141 | 0.8142642155837237 | 0.8581862700862796 | 0.8252815213709926 | 0.8243331467978868 | 0.8193370415659248 | 0.8138313236339574 | 0.8366947123324756 | 0.8278381229326559 | 0.8249806906481224 | 0.8235415574160269 | 0.8212711241469096 | 0.8225117587323383 | 0.8222672200650747 | 0.8192771069463906 | 0.8160169805948044 | 0.8153097560635626 | 0.8286888325236954 | 0.8238166968609608 | 0.8218250558523907 | 0.8174495753504801 | 0.808954260120073 | 0.8517267170470436 | 0.8244260401679715 | 0.8237958732405634 | 0.8170345996203152 | 0.8139092344671229","7","OpenAIToolLoopError: OpenAI tool call limit exceeded","needs_manual_review"
"7","1","in_scope","2","X","","오류","sol_error","N","Y","","공인중개사법 개업공인중개사 법원 등록 경매 매수신청 대리 공매 입찰신청 대리 인장 변경 보증보험 가입 | 공인중개사법 매수신청대리인 등록 법원 경매 공매 매수신청 입찰신청 대리 법원 등록 | 공인중개사법 제14조 제2항 제3항 경매대상 부동산 매수신청대리 법원 등록 공매 입찰신청 대리 | 공인중개사의 매수신청대리인 등록 등에 관한 규칙 제3조 매수신청대리 대상 경매 공매 법원 등록","","","공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제8조 | 공인중개사법 시행규칙 제9조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행령 제24조 | 공인중개사법 제51조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제9조 | 공인중개사법 시행규칙 제15조 | 주택임대차보호법 제3조의2 | 공인중개사법 제51조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행규칙 제9조 | 공인중개사법 시행령 제24조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 제51조 | 공인중개사법 시행령 제18조 | 주택임대차보호법 제3조의2 | 공인중개사법 시행규칙 제15조 | 공인중개사법 시행령 제24조","0.8383229456452151 | 0.8320883295578269 | 0.8276574400630768 | 0.825398595510391 | 0.8229897551316722 | 0.8399751320811676 | 0.8346864061512381 | 0.8212232144992796 | 0.819815599183526 | 0.819116957388447 | 0.8386622704242676 | 0.823378526381943 | 0.8207509584787248 | 0.8197647000310821 | 0.819216252996958 | 0.8422134631461468 | 0.8406908256360293 | 0.8279475871651022 | 0.8264870291540719 | 0.8255805837628416","4","OpenAIToolLoopError: OpenAI tool call limit exceeded","needs_manual_review"
"8","1","in_scope","2","X","1","O","baseline_wrong_to_sol_correct","Y","Y","개업 공인 중개사 중개 사무소 게시 의무","공인중개사법령 중개사무소 게시 의무 소속공인중개사 자격증 원본 보증 설정 증명 서류 고용신고서 실무교육 수료확인증 | 공인중개사법 시행규칙 중개사무소등록증 원본 공인중개사 자격증 원본 보증 설정 증명 서류 게시 제10조 게시의무","부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행규칙 제8조 | 공인중개사법 시행령 제21조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행령 제13조","0.8251376623822972 | 0.8227371239935226 | 0.8188830707664653 | 0.81693361880217 | 0.8059368502106747","공인중개사법 시행규칙 제8조 | 공인중개사법 시행령 제18조 | 공인중개사법 제34조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 시행령 제24조 | 공인중개사법 시행규칙 제8조 | 공인중개사법 제51조 | 공인중개사법 시행령 제18조 | 공인중개사법 시행규칙 제10조 | 공인중개사법 시행령 제24조","0.813217138187774 | 0.8062740853466908 | 0.8017455923345683 | 0.7975517326045236 | 0.7942511338045021 | 0.8131924339548903 | 0.8104571973087119 | 0.8072038000756677 | 0.8033728139067452 | 0.8021884354935724","2","","success"
"9","2","in_scope","2","O","","판정불가","sol_unparsed_or_grounding","Y","Y","중개 사무소 개설 등록","공인중개사법 중개사무소 개설등록 결격사유 집행유예 협회 등록사항 통보 외국법인 영업소 등기 등록 통지 7일 종전 등록증 반납 | 공인중개사법 제10조 금고 이상 형 집행유예 유예기간 만료 2년 중개사무소 개설등록 결격사유 | 공인중개사법 시행규칙 협회 매월 중개사무소 등록 사항 다음 달 10일 시도지사 통보 등록 행정처분 통지서 | ""중개사무소등록·행정처분 등 통지서"" ""다음 달 10일까지"" 등록관청","부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제13조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 시행규칙 제4조 | 부동산 거래신고 등에 관한 법률 시행령 제6조","0.8309935973932294 | 0.8269625809210722 | 0.8207717738060386 | 0.8157717800815916 | 0.8146866095613717","부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제13조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 시행규칙 제4조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제13조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 제51조 | 공인중개사법 제38조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제13조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 제51조 | 공인중개사법 제38조 | 부동산 거래신고 등에 관한 법률 시행규칙 제2조 | 공인중개사법 시행령 제13조 | 공인중개사법 시행규칙 제4조 | 공인중개사법 제51조 | 공인중개사법 제38조","0.8309935973932294 | 0.8269625774049119 | 0.8207717738060386 | 0.815743406464168 | 0.8146866095613717 | 0.8317806387991347 | 0.8269625774049119 | 0.8207717738060386 | 0.8190246140609933 | 0.8186045519306829 | 0.8317806387991347 | 0.8269625774049119 | 0.8207717738060386 | 0.8190246140609933 | 0.8186045614640256 | 0.8317806387991347 | 0.8269625809210722 | 0.8214914901227816 | 0.8190246140609933 | 0.8186045519306829","4","","grounding_validation_failure"
"10","2","in_scope","2","O","2","O","both_correct","Y","Y","공인중개사법 개업 공인 중개사 중개 의뢰인 중개 계약의 설명","공인중개사법 일반중개계약 계약서 작성 요청 거래예정가격 전속중개계약 유효기간 3개월 정보공개 권리자 인적사항 임대차 공시지가 | 공인중개사법 제22조 일반중개계약 중개의뢰인 요청 일반중개계약서 거래예정가격 | 공인중개사법 시행규칙 일반중개계약서 전속중개계약서 보존기간 별지 서식 | ""중개의뢰내용을 명확하게 하기 위하여"" ""거래예정가격"" ""일반중개계약서""","공인중개사법 제38조 | 공인중개사법 제23조 | 공인중개사법 시행령 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 제39조","0.8224138466303872 | 0.8183210984394264 | 0.8106982249288203 | 0.8091612169551688 | 0.8080822020599605","공인중개사법 제38조 | 공인중개사법 제23조 | 공인중개사법 시행령 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 제39조 | 공인중개사법 제23조 | 공인중개사법 제39조 | 공인중개사법 시행령 제20조 | 상가건물 임대차보호법 제10조 | 부동산 거래신고 등에 관한 법률 시행령 제6조 | 공인중개사법 제23조 | 공인중개사법 시행령 제20조 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 제39조 | 상가건물 임대차보호법 제10조 | 공인중개사법 제38조 | 공인중개사법 제23조 | 공인중개사법 시행령 제20조 | 공인중개사법 제22조 | 공인중개사법 제39조","0.8318677755555264 | 0.8266988346697305 | 0.820785594763672 | 0.8193170462972031 | 0.8167403918269329 | 0.8078512559441791 | 0.8046671192640925 | 0.8023260177289476 | 0.8017840590239292 | 0.7957591639589556 | 0.8169774567097939 | 0.8092158044142601 | 0.808564904549338 | 0.8082204856489265 | 0.8040807648094646 | 0.8216798711497985 | 0.8200268189280532 | 0.8139115077932743 | 0.8114701887761578 | 0.8100637668151527","4","","success"
